location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Algeria,05/05/2020,174,2,43851043,6.211,13913.839,1.9
Algeria,06/05/2020,190,5,43851043,6.211,13913.839,1.9
Algeria,07/05/2020,159,6,43851043,6.211,13913.839,1.9
Algeria,08/05/2020,185,7,43851043,6.211,13913.839,1.9
Algeria,09/05/2020,187,5,43851043,6.211,13913.839,1.9
Algeria,10/05/2020,189,6,43851043,6.211,13913.839,1.9
Algeria,11/05/2020,165,8,43851043,6.211,13913.839,1.9
Algeria,12/05/2020,168,5,43851043,6.211,13913.839,1.9
Algeria,13/05/2020,176,8,43851043,6.211,13913.839,1.9
Algeria,14/05/2020,186,7,43851043,6.211,13913.839,1.9
Algeria,15/05/2020,189,7,43851043,6.211,13913.839,1.9
Algeria,16/05/2020,187,7,43851043,6.211,13913.839,1.9
Algeria,17/05/2020,192,6,43851043,6.211,13913.839,1.9
Algeria,18/05/2020,198,6,43851043,6.211,13913.839,1.9
Algeria,19/05/2020,182,7,43851043,6.211,13913.839,1.9
Algeria,20/05/2020,176,6,43851043,6.211,13913.839,1.9
Algeria,21/05/2020,165,7,43851043,6.211,13913.839,1.9
Algeria,22/05/2020,186,7,43851043,6.211,13913.839,1.9
Algeria,23/05/2020,190,7,43851043,6.211,13913.839,1.9
Algeria,24/05/2020,195,10,43851043,6.211,13913.839,1.9
Algeria,25/05/2020,193,8,43851043,6.211,13913.839,1.9
Algeria,26/05/2020,197,9,43851043,6.211,13913.839,1.9
Algeria,27/05/2020,194,8,43851043,6.211,13913.839,1.9
Algeria,28/05/2020,160,6,43851043,6.211,13913.839,1.9
Algeria,29/05/2020,140,7,43851043,6.211,13913.839,1.9
Algeria,30/05/2020,137,8,43851043,6.211,13913.839,1.9
Algeria,31/05/2020,133,8,43851043,6.211,13913.839,1.9
Algeria,01/06/2020,127,7,43851043,6.211,13913.839,1.9
Algeria,02/06/2020,119,8,43851043,6.211,13913.839,1.9
Algeria,03/06/2020,113,6,43851043,6.211,13913.839,1.9
Algeria,04/06/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,05/06/2020,205,14,43851043,6.211,13913.839,1.9
Algeria,06/06/2020,104,9,43851043,6.211,13913.839,1.9
Algeria,07/06/2020,115,8,43851043,6.211,13913.839,1.9
Algeria,08/06/2020,104,9,43851043,6.211,13913.839,1.9
Algeria,09/06/2020,111,8,43851043,6.211,13913.839,1.9
Algeria,10/06/2020,117,9,43851043,6.211,13913.839,1.9
Andorra,03/03/2020,1,0,77265,,,
Andorra,14/03/2020,1,0,77265,,,
Andorra,16/03/2020,3,0,77265,,,
Andorra,17/03/2020,9,0,77265,,,
Andorra,18/03/2020,0,0,77265,,,
